time	line	instance	edges	omega	degree	minloops	maxloops	pimin	lambda	[lambda>0]	mix	leigen	ueigen	ucanon	
(60h:43m:05s)	11131	5,5,5,3,1,0;5,5,3,2,2,2	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:05s)	11132	5,5,5,3,1,0;5,4,4,2,2,2	19	6	441	438	438	1/6	0.993197	1	953	453.666	1278.83	3197.07	
(60h:43m:05s)	11133	5,5,5,3,1,0;6,3,3,3,2,2	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:05s)	11134	5,5,5,3,1,0;5,4,3,3,2,2	19	18	441	433	435	1/18	0.991774	1	792	374.629	1191.1	3600.81	
(60h:43m:05s)	11135	5,5,5,3,1,0;4,4,4,3,2,2	19	66	441	426	432	1/66	0.991412	1	767	358.708	1292.19	5561.32	
(60h:43m:05s)	11136	5,5,5,3,1,0;5,3,3,3,3,2	19	48	441	430	432	1/48	0.990126	1	663	311.602	1091.7	3862.23	
(60h:43m:05s)	11137	5,5,5,3,1,0;4,4,3,3,3,2	19	160	441	425	429	1/160	0.989384	1	641	289.598	1128.78	7101.01	
(60h:43m:06s)	11138	5,5,5,3,1,0;4,3,3,3,3,3	19	360	441	424	426	1/360	0.987198	1	530	239.615	999.372	6613.79	
(60h:43m:06s)	11139	6,4,4,4,1,0;6,4,4,4,1,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11140	6,4,4,4,1,0;5,5,4,4,1,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11141	6,4,4,4,1,0;6,6,3,2,2,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11142	6,4,4,4,1,0;6,5,4,2,2,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11143	6,4,4,4,1,0;5,5,5,2,2,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11144	6,4,4,4,1,0;6,5,3,3,2,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11145	6,4,4,4,1,0;6,4,4,3,2,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11146	6,4,4,4,1,0;5,5,4,3,2,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11147	6,4,4,4,1,0;5,4,4,4,2,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11148	6,4,4,4,1,0;6,4,3,3,3,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11149	6,4,4,4,1,0;5,5,3,3,3,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11150	6,4,4,4,1,0;5,4,4,3,3,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
