time	line	instance	edges	omega	degree	minloops	maxloops	pimin	lambda	[lambda>0]	mix	leigen	ueigen	ucanon	
(0h:00m:33s)	168	4,4,2,1,1;4,3,2,2,1	12	31	225	214	218	1/31	0.985518	1	442	211.457	714.114	3377.75	
(0h:00m:33s)	169	4,4,2,1,1;3,3,3,2,1	12	66	225	212	216	1/66	0.984449	1	407	196.702	713.599	2913.07	
(0h:00m:33s)	170	4,4,2,1,1;4,2,2,2,2	12	76	225	214	214	1/76	0.982222	1	350	171.679	632.165	2628.48	
(0h:00m:33s)	171	4,4,2,1,1;3,3,2,2,2	12	153	225	211	213	1/153	0.9779	1	300	137.496	540.195	3353.23	
(0h:00m:33s)	172	4,3,3,1,1;4,3,3,1,1	12	29	225	214	218	1/29	0.985477	1	443	210.855	707.517	2391.61	
(0h:00m:33s)	173	4,3,3,1,1;4,3,2,2,1	12	60	225	213	216	1/60	0.984434	1	407	196.511	706.795	2764.28	
(0h:00m:33s)	174	4,3,3,1,1;3,3,3,2,1	12	132	225	208	212	1/132	0.979379	1	312	147.582	571.785	3195.51	
(0h:00m:33s)	175	4,3,3,1,1;4,2,2,2,2	12	126	225	211	213	1/126	0.982222	1	350	171.679	660.602	3670.01	
(0h:00m:34s)	176	4,3,3,1,1;3,3,2,2,2	12	264	225	208	210	1/264	0.974917	1	270	120.772	497.691	3479.12	
(0h:00m:34s)	177	4,3,2,2,1;4,3,2,2,1	12	123	225	211	212	1/123	0.979808	1	327	150.784	580.438	2980.01	
(0h:00m:34s)	178	4,3,2,2,1;3,3,3,2,1	12	237	225	207	208	1/237	0.978111	1	294	138.85	565.389	3947.73	
(0h:00m:34s)	179	4,3,2,2,1;4,2,2,2,2	12	244	225	208	210	1/244	0.976796	1	274	130.804	534.597	3637.59	
(0h:00m:35s)	180	4,3,2,2,1;3,3,2,2,2	12	467	225	203	207	1/467	0.972111	1	245	108.308	468.067	3352.27	
(0h:00m:35s)	181	3,3,3,2,1;3,3,3,2,1	12	451	225	205	206	1/451	0.971236	1	241	104.922	452.628	4014.02	
(0h:00m:36s)	182	3,3,3,2,1;4,2,2,2,2	12	438	225	203	205	1/438	0.975723	1	262	124.887	535.075	4484.21	
(0h:00m:37s)	183	3,3,3,2,1;3,3,2,2,2	12	828	225	204	205	1/828	0.969398	1	224	98.4322	445.291	4084.33	
(0h:00m:37s)	184	4,2,2,2,2;4,2,2,2,2	12	456	225	205	207	1/456	0.969678	1	240	99.3686	429.725	3349.72	
(0h:00m:39s)	185	4,2,2,2,2;3,3,2,2,2	12	828	225	204	204	1/828	0.967787	1	218	93.3549	423.025	4195.42	
(0h:00m:42s)	186	3,3,2,2,2;3,3,2,2,2	12	1486	225	200	203	1/1486	0.965303	1	206	86.4484	409.593	4378.96	
finished
